id;name;description;type;data_type;default_value
1;Dynamic withdrawal;Unbranded;OPTIONAL;DATE_TIME;Administrator Colombian Peso Unidad de Valor Real Outdoors
2;withdrawal Practical Metal Keyboard fuchsia;red Pants;OPTIONAL;TIME;Avon
3;policy Dynamic;Sports Zimbabwe Dollar copy;OPTIONAL;STRING;Awesome Metal Chicken
4;Representative;monitor;OPTIONAL;BOOLEAN;schemas Chief
5;Gorgeous payment Bacon;Steel digital composite;MANY;DATE;alarm e-business Dominican Republic
6;architect haptic Focused;models networks;REQUIRED;NUMBER;driver payment users
7;Implementation hack Shoes;mint green;MANY;BOOLEAN;program Rustic Metal Car card
8;COM;salmon Kids;REQUIRED;TIME;generate Texas
9;Liaison;Nepal distributed;REQUIRED;TIME;Consultant Liaison Sleek
10;Investment Account Chicken;extensible Triple-buffered;OPTIONAL;STRING;paradigms Russian Federation Costa Rican Colon
