id;name;description
1;Handmade;service-desk Borders
2;USB green Licensed Fresh Keyboard;Music Unbranded North Dakota
3;calculating maroon incentivize;Generic Metal Shirt
4;Awesome Soft Chips scalable;productize firewall Movies
5;Chair Borders;schemas Indiana
6;Maryland USB Marshall Islands;revolutionary North Dakota Tasty Soft Cheese
7;HTTP;Specialist HTTP Usability
8;Garden;Integration Congolese Franc overriding
9;Fish Plastic SSL;CSS Central
10;middleware Configuration Bedfordshire;Optimization silver IB
